Organization Name,Address ,Unit Number,Community,State,Zip Code,County,Services Offered 1,Services Offered 2,Services Offered 3,Services Offered 4,Services Offered 5,Services Offered 6,Services Offered 7,Services Offered 8,Services Offered 9,Website URL,Phone Number,Contact Name 1,Contact Email 1,Contact Name 2,Contact Email 2,Service Class 1,Service Class 2,Service Class 3,Target Population 1,Target Population 2,Target Population 3,Age Range,Additional Notes,,,,,,,,,,,,,,,,,,,,,,
Nantucket AIDS Network, 35 Old South Road,,Nantucket,MA,02554,Nantucket,STI testing,case management,referrals,training and technical assistance,,,,,,http://www.nantucketaids.org/home.php,"www.nantucketaids.org, (508) 228-3955, francesca@nantucketaids.org",Francesca Ifantiedes,francesca@nantucketaids.org,Libby Maynes ,libby@nantucketaids.org,Case Management,,,LGBTQ youth,Individuals Living with HIV/AIDS,Individuals living with Hepatitis C,,,,,,,,,,,,,,,,,,,,,,,,
BAGELS at Harvard University,1350 Massachusetts Ave,,Cambridge,MA,02138,Middlesex,social group,public education,,,,,,,, http://www.hcs.harvard.edu/~bagels/,,,bagels@hcs.harvard.edu,,,Clubhouse,,,LGBTQ youth,,,college student,,,,,,,,,,,,,,,,,,,,,,,
Younger Bi/Fluid Group (Bisexual Resource Center),250 Elm Street,,Somerville,MA,02144,Middlesex,support group,,,,,,,,,http://www.biresource.net/bostongroups.shtml,617-424-9595,,youngblissboston@gmail.com,,,Clubhouse,,,LGBTQ youth,,,20-29,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Broadway Health Center,300 Broadway,,Somerville,MA,02145,Middlesex,healthcare,primary care,,,,,,,,http://www.challiance.org/Main/Home.aspx,617-665-1000,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Cambridge Family Health,237 Hampshire St,,Cambridge,MA,02139,Middlesex,healthcare,primary care,,,,,,,,http://www.challiance.org/Main/Home.aspx,617-665-1000,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Cambridge Family Health North,2067 Massachusetts Avenue,,Cambridge,MA,02140,Middlesex,healthcare,primary care,,,,,,,,http://www.challiance.org/Main/Home.aspx,617-665-1000,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Cambridge Pediatrics,1493 Cambridge Street,,Cambridge,MA,02139,Middlesex,healthcare,primary care,,,,,,,,http://www.challiance.org/Main/Home.aspx,617-665-1000,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Cambridge Primary Care Center,1493 Cambridge Street,,Cambridge,MA,02139,Middlesex,healthcare,primary care,,,,,,,,http://www.challiance.org/Main/Home.aspx,617-665-1000,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Cambridge Teen Health Center,459 Broadway,,Cambridge,MA,02138,Middlesex,healthcare,primary care,,,,,,,,http://www.challiance.org/Main/Home.aspx,617-665-1000,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - East Cambridge Health Center,163 Gore Street,,Cambridge,MA,02141,Middlesex,healthcare,primary care,,,,,,,,http://www.challiance.org/Main/Home.aspx,617-665-1000,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Everett Family Health Center,391 Broadway,Suite 204,Cambridge,MA,02149,Middlesex,healthcare,primary care,,,,,,,,http://www.challiance.org/Main/Home.aspx,617-665-1000,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Everett Teen Health Center,100 Elm Street,,Everett,MA,02149,Middlesex,healthcare,primary care,,,,,,,,http://www.challiance.org/Main/Home.aspx,617-665-1000,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Malden Family Medicine Center,195 Canal Street,,Malden,MA,02148,Middlesex,healthcare,primary care,,,,,,,,http://www.challiance.org/Main/Home.aspx,617-665-1000,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Revere Family Health Center,454 Broadway,,Revere,MA,02151,Middlesex,healthcare,primary care,,,,,,,,http://www.challiance.org/Main/Home.aspx,617-665-1000,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Somerville Hospital Primary Care,236 Highland Street,,Somerville,MA,02143,Middlesex,healthcare,primary care,,,,,,,,http://www.challiance.org/Main/Home.aspx,617-665-1000,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Somerville Teen Connection,81 Highland Avenue,,Somerville,MA,02143,Middlesex,healthcare,primary care,,,,,,,,http://www.challiance.org/Main/Home.aspx,617-665-1000,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Union Square Family Health,337 Somerville Avenue,,Somerville,MA,02143,Middlesex,healthcare,primary care,,,,,,,,http://www.challiance.org/Main/Home.aspx,617-665-1000,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Windsor Street Health Center ,119 Windsor Street,,Cambridge,MA,02139,Middlesex,healthcare,primary care,,,,,,,,http://www.challiance.org/Main/Home.aspx,617-665-1000,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Anna May Powers Center,20 Nichols St,,Everett,MA,02149,Middlesex,healthcare,mental health services,counseling,,,,,,,http://www.challiance.org/Main/Home.aspx,617-575-5660 ,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,We offer mental health and counseling services for children and adolescents.,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Central Street Health Center,26 Central St,,Somerville,MA,02143,Middlesex,healthcare,mental health services,counseling,substance abuse services,,,,,,http://www.challiance.org/Main/Home.aspx,617-591-6033,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,We offer mental health and counseling services for children and adolescents.,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Zinberg HIV Clinic,1493 Cambridge St,,Cambridge,MA,02139,Middlesex,healthcare,counseling,HIV/AIDS,primary care,mental health services,,,,,http://www.challiance.org/Main/Home.aspx,617-665-1606,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,,,,,We offer mental health and counseling services for children and adolescents.,,,,,,,,,,,,,,,,,,,,,
Davis Square Family Practice: Dr. Deborah Bershel,260 Elm Street,105,Somerville,MA,02144,Middlesex,healthcare,,,,,,,,,http://dsfamilypractice.com/transgender.php,(617) 666-9577,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,transgender youth,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,
"Dr. Nicole Issa, PsyD, LMHC",10 Concord Avenue,,Cambridge,MA,02138 ,Middlesex,healthcare,mental health,counseling,training and technical assistance,,,,,,http://drnicoleissa.com/,617-396-4201,,drnicoleissa@yahoo.com,,,"Clinical and Medical Counseling, Therapy, and Treatment ",,,LGBTQ youth,family,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Saldarriaga (at Community Legal Services and Counseling Center),1 West Street,,Cambridge,MA,02139,Middlesex,referrals ,legal services,case management,immigration services,housing services,employment services,support group,counseling,,clsacc.org/immigration.html,(617) 661-1010,Dustin Saldarriaga,dsaldarriaga@clsacc.org,,,Case Management,,,LGBTQ youth,immigrant youth,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham Regional Alliance of Gay and Lesbian Youth (FRAGLY),,,Framingham,MA,,Middlesex,social and support group,,,,,,,,,,(508) 655-7183,,,,,Clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
GLBT Commission: City of Cambridge,795 Massachusetts Avenue,,Cambridge,MA,02139,Middlesex,public education,public education ,resources,,,,,,,http://www.cambridgema.gov/glbt.aspx,"617-349-3355
",,glbtcommission@cambridgema.gov,,,Capacity Building,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
GLBT DV Project,,,Cambridge,MA,02139,Middlesex,support groups,legal services,housing services,counseling,crisis management,employment services,domestic violence services,,,http://gmdvp.org/,617-354-6056,,clientservices@gmdvp.org,,,Case Management,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
GLBT Safe Space: United Teen Equality Center,,,Lowell,MA,,Middlesex,referrals ,,,,,,,,,http://www.utec-lowell.org/teenspace/resources,"juan@utec-lowell.org, 978-804-8227, Leslie Rivera 978-812-9294",,,,,"Center-Based Basic Living and Personal Care Supports, Training and Skills Development",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Boston PFLAG,85 River Street,Suite 3A,Waltham,MA,02453,Middlesex,support group,public education,resources,,,,,,,http://www.gbpflag.org/,781-891-5966,,info@gbpflag.org,,,"Community Prevention, Education and Outreach",,,parent,family,ally,,,,,,,,,,,,,,,,,,,,,,,,
Harvard QRC (Queer Resource Center,Harvard Yard,Thayer Hall,Cambridge,MA,02138,Middlesex,social group,resources,,,,,,,,http://www.hcs.harvard.edu/~harvardqrc/index.html,,,harvardqrc@gmail.com,,,Clubhouse,,,LGBTQ youth,,,college student,,,,,,,,,,,,,,,,,,,,,,,
Harvard QSA (Queer Students and Allies),,,Cambridge,MA,02138,Middlesex,public education,resources,,,,,,,,http://www.hcs.harvard.edu/~qsa/,,,HarvardQSA@gmail.com,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,,,college student,,,,,,,,,,,,,,,,,,,,,,,
lgbt @ MIT (including Rainbow Lounge),142 Memorial Drive,Walker Memorial Basement 50-005,Cambridge,MA,02139,Middlesex,support group,social group,counseling,public education,,,,,,http://lbgt.mit.edu/,(617) 253-5440,,lbgt@mit.edu,,,Clubhouse,,,LGBTQ youth,transgender youth,,college student,,,,,,,,,,,,,,,,,,,,,,,
Lowell Community Health Center LGBT Youth Group,161 Jackson Street,,Lowell,MA,01852,Middlesex,support group,,,,,,,,,http://www.lchealth.org/support.shtml,978-322-8521,,,,,Clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
National Gay and Lesbian Task Force,1151 Massachusetts Ave,,Cambridge,MA,02138,Middlesex,public education,,,,,,,,,http://www.thetaskforce.org/issues/youth,202.393.5177,,,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerville Office of the LGBT Liaison,50 Evergreen Avenue,,Somerville,MA,02145,Middlesex,public education,resources,training and technical assistance,referrals,,,,,,http://www.ci.somerville.ma.us/departments/health/somerville-commissions/lgbt,617-625-6600 ext. 2400,,lgbtissues@somervillema.gov,,,Case Management,,,LGBTQ youth,ally,family,,,,,,,,,,,,,,,,,,,,,,,,
Tufts University LGBT Center,226 College Ave,Bolles House,Medford,MA,02155,Middlesex,public education,social group,support group,resources,,,,,,http://ase.tufts.edu/lgbt/resources/index.asp,617.627.3770,,lgbt@tufts.edu,Tom Bourdon,Tom.Bourdon@tufts.edu,Clubhouse,,,LGBTQ youth,,,college student,,,,,,,,,,,,,,,,,,,,,,,
Wayside Youth,1 Frederick Abbott Way,,Framingham,MA,01701,Middlesex,outreach to homeless and at-risk LGBTQ youth,,,,,,,,,http://www.waysideyouth.org/,508-879-9800,,,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth (homeless and at risk),,,,,,,,,,,,,,,,,,,,,,,,,,
Wayside Youth,88 Lincoln Street,,Framingham,MA,01701,Middlesex,outreach to homeless and at-risk LGBTQ youth,,,,,,,,,http://www.waysideyouth.org/,508-620-0010,,,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth (homeless and at risk),,,,,,,,,,,,,,,,,,,,,,,,,,
Wayside Youth,68 Henry Street,,Framingham,MA,01702,Middlesex,outreach to homeless and at-risk LGBTQ youth,,,,,,,,,http://www.waysideyouth.org/, 508-879-1424,,,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth (homeless and at risk),,,,,,,,,,,,,,,,,,,,,,,,,,
Wayside Youth,118 Central Street,,Waltham,MA,02453,Middlesex,outreach to homeless and at-risk LGBTQ youth,,,,,,,,,http://www.waysideyouth.org/,781-647-1432,,,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth (homeless and at risk),,,,,,,,,,,,,,,,,,,,,,,,,,
Wayside Youth,127 North Beacon Street,,Watertown,MA,02472,Middlesex,outreach to homeless and at-risk LGBTQ youth,,,,,,,,,http://www.waysideyouth.org/,617-924-1027,,,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth (homeless and at risk),,,,,,,,,,,,,,,,,,,,,,,,,,
Wayside Youth,12 Prescott Street,,Arlington,MA,02747,Middlesex,outreach to homeless and at-risk LGBTQ youth,,,,,,,,,http://www.waysideyouth.org/,781-643-1668,,,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth (homeless and at risk),,,,,,,,,,,,,,,,,,,,,,,,,,
Wayside Youth,6 Pleasant St.,Suite 220,Malden,MA,02148,Middlesex,outreach to homeless and at-risk LGBTQ youth,,,,,,,,,http://www.waysideyouth.org/,781-338-2640,,,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth (homeless and at risk),,,,,,,,,,,,,,,,,,,,,,,,,,
Youth on Fire,1555 Massachusetts Avenue,,Cambridge,MA,02138,Middlesex,shelter services,healthcare,support group,public education,referrals,mental healh services,housing services,STI testing,leadership development,http://www.aac.org/about/our-work/youth-on-fire.html, 617.661.2508,,yof@aac.org,,,Clubhouse,,,LGBTQ youth,homeless youth,,,,,,,,,,,,,,,,,,,,,,,,,
Lowell Community Health Center (Health Quarters),161 Jackson Street,Family Planning Department-2nd Floor,Lowell,MA,01852,Middlesex,healthcare,STI testing,training and technical assistance,,,,,,,http://www.healthq.org/,978-446-0236,,info@healthq.org,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin American Health Institute,9 Central Street,,Lowell,MA,01852,Middlesex,HIV/AIDS,resources,healthcare,mental health services,Substance abuse services,,,,,http://www.lhi.org/Homepage.aspx,978 459-3366,,lowell@lhi.org,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,,,,,Pubilc Health/ HIV Services for Latin American community,,,,,,,,,,,,,,,,,,,,,
More than Words,376 Moody St.,2nd Floor,Waltham,MA, 02453,Middlesex,career skills,leadership development,,,,,,,,http://mtwyouth.org/,617-674-5550  ,,info@mtwyouth.org,,,"Education, Vocational and Skills Training",,,LGBTQ youth,,,,,Bookstore run by kids for development of entrprenerial skills,,,,,,,,,,,,,,,,,,,,,
Teen Empowerment,165 Broadway,,Somerville,MA,02145,Middlesex,career skills,leadership development,public education,,,,,,,http://www.teenempowerment.org/,617-625-6600 ext. 2256,,danny@teenempowerment.org,,,Clubhouse,,,LGBTQ youth,,,14-21,,"The mission of the Center for Teen Empowerment is to empower youth and adults as agents of individual, institutional, and social change.",,,,,,,,,,,,,,,,,,,,,
CASPAR Youth Services,5 Middlesex Avenue ,,Somerville,MA,02145,Middlesex,substance abuse services,drop in center,support group,employment services,case management,referrals,,,,http://www.casparinc.org,617.592-6896,,youth@casparinc.org ,,,"Direct Prevention, Outreach, and Stabilization Services",Case Management,,LGBTQ youth,,,,,At CASPAR we provide community-based services for people with substance use disorders. ,,,,,,,,,,,,,,,,,,,,,
TIFFANY Club of New England,30 Guinan St,,Waltham,MA,02451,Middlesex,support group,social group,referrals,resources,,,,,,http://tcne.org/,781-891-9325,,info@tcne.org,,,,,,LGBTQ youth,transgender youth,,,,,,,,,,,,,,,,,,,,,,,,,
"WAGLY (West Suburban Alliance of Gay, Lesbian, Bisexual, Transgender and Queer Youth)",309 Washington St,,Wellesley Hills,MA,02481,Norfolk,social group,support group,leadership development,,,,,,,www.wagly.org,", (781) 235-7423 x112",,info@wagly.org,,,Clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS Support Group of Cape Cod (Hyannis Office),428 South Street,,Hyannis,MA,02610,Barnstable,support group,case management,STI testing,public education,,,,,,http://www.asgcc.org/,508.778.1954,,,,,Clubhouse,,,LGBTQ youth,HIV infected or affected individuals,,,,,,,,,,,,,,,,,,,,,,,,,
