Organization,Search Category 1,Search Category 2,Search Category 3,Search Category 4,Search Category 5,Search Category 6,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Service Class 1,Service Class 2,Service Class 3,Website URL,Address,Unit Number,Community,State,Zip Code,County,Phone Number,Contact Name 1,Contact Email 1,Contact Name 2,Contact Email 2,Target Population 1,Target Population 2,Target Population 3,Age Range,Mission Statement,Additional Notes,Date Emailed,Date Called,Initials,,,,,,,,,,,,,,,,,,,
AIDS Support Group of Cape Cod (Prevention and Screening),Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",HIV and AIDS services,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.asgcc.org/,336 Commercial Street,#10,Provincetown,MA,02657,Barnstable,508.487.8311,,,,,LGBTQ youth,HIV infected or affected individuals,,,"The AIDS Support Group of Cape Cod, one of the first AIDS organizations established in the United States, works to foster health, independence and dignity for people living with HIV/AIDS and Viral Hepatitis by providing care, support and housing.  We work to help reduce the spread of HIV and other sexually transmitted infections through prevention, education and testing services. ",,,,,,,,,,,,,,,,,,,,,,,
AIDS Support Group of Cape Cod (Provincetown Office),Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",HIV and AIDS services,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.asgcc.org/,96 Bradford Street,,Provincetown,MA,02657,Barnstable,508.487.9445,,,,,LGBTQ youth,HIV infected or affected individuals,,,"The AIDS Support Group of Cape Cod, one of the first AIDS organizations established in the United States, works to foster health, independence and dignity for people living with HIV/AIDS and Viral Hepatitis by providing care, support and housing.  We work to help reduce the spread of HIV and other sexually transmitted infections through prevention, education and testing services. ",,,,,,,,,,,,,,,,,,,,,,,
"Aleah Nesteby, RN, FNP (baystate)",Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,Individual Primary Care Wellness,,,http://baystatehealth.com/Baystate/Main+Nav/ch.Find+a+Doctor.Print,140 High Street,Baystate High Street Health Center,Springfield,MA,01109,Hampden,413-794-2511,Aleah Nesteby,,,,,,,18+,,NO WEBSITE SPECIFIC TO THIS PROVIDER,,,,,,,,,,,,,,,,,,,,,,
Always Our Children,Community Group,Faith Based Organization,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Community Prevention, Education, and Outreach",,,,395 Chestnut St,Sacred Heart Church Diocese of Springfield,Springfield,MA,01104,Hampden,"413-736-6803, 413-592-8670",Ann Franczyk,annrun76@aol.com,,swtsomay@aol.com,Parent,Family,LGBTQ youth,,,NO WEBSITE SPECIFIC TO THIS ORG,,,,,,,,,,,,,,,,,,,,,,
American Civil Liberties Union of Massachusetts,Legal Services,,,,,,Other Professional Services,,,,,Legal Services,,,,,,,"Community Prevention, Education and Outreach",,,http://www.aclum.org/,340 Main Street,Room 717,Worcester,MA,01608,Worcester,(508) 444-2258,,info@aclum.org,Chris Robarge,mailto:crobarge@aclum.org,LGBTQ folks,,,,"The American Civil Liberties Union (ACLU) is a private, voluntary, nonpartisan organization that works daily in courts, legislatures, and communities to defend and preserve our country’s basic civic values--the individual rights and liberties guaranteed to all by the Constitution and Bill of Rights. The ACLU of Massachusetts, with over 20,000 supporters across the Commonwealth, is a state affiliate of the national ACLU. We defend the principles enshrined in the Massachusetts Declaration of Rights as well as the U.S. Constitution.",,,,,,,,,,,,,,,,,,,,,,,
American Civil Liberties Union of Massachusetts,Legal Services,,,,,,Other Professional Services,,,,,Legal Services,,,,,,,"Community Prevention, Education and Outreach",,,http://www.aclum.org/,211 Congress Street,,Boston,MA,02110,Suffolk,617.482.3170,,info@aclum.org,,,LGBTQ youth,,,,"The American Civil Liberties Union (ACLU) is a private, voluntary, nonpartisan organization that works daily in courts, legislatures, and communities to defend and preserve our country’s basic civic values--the individual rights and liberties guaranteed to all by the Constitution and Bill of Rights. The ACLU of Massachusetts, with over 20,000 supporters across the Commonwealth, is a state affiliate of the national ACLU. We defend the principles enshrined in the Massachusetts Declaration of Rights as well as the U.S. Constitution.",,,,,,,,,,,,,,,,,,,,,,,
American Civil Liberties Union of Massachusetts,Legal Services,,,,,,Other Professional Services,,,,,Legal Services,,,,,,,"Community Prevention, Education and Outreach",,,http://www.aclum.org/,39 Main Street,,Northampton,MA,01060,Hampshire,413.586.9115,,info@aclum.org,,,LGBTQ folks,,,,"The American Civil Liberties Union (ACLU) is a private, voluntary, nonpartisan organization that works daily in courts, legislatures, and communities to defend and preserve our country’s basic civic values--the individual rights and liberties guaranteed to all by the Constitution and Bill of Rights. The ACLU of Massachusetts, with over 20,000 supporters across the Commonwealth, is a state affiliate of the national ACLU. We defend the principles enshrined in the Massachusetts Declaration of Rights as well as the U.S. Constitution.",,,,,,,,,,,,,,,,,,,,,,,
Amherst College Queer Resource Center,"Education, Training and Employment",Higher Education Organization,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,https://www.amherst.edu/campuslife/rainbow,Queer Resource Center,"AC# 2065, Keefe Campus Center",Amherst,MA,01002,Hampshire,413-542-5114,,qrc@amherst.edu,,,LGBTQ youth,,,college,"The mission of the Queer Resource (QRC) is to support the LGBTQQIAA (Lesbian, Gay, Bisexual, Transgender, Queer, Questioning, Intersex, Asexual and Ally) students of Amherst College.",,,,,,,,,,,,,,,,,,,,,,,
Arlington Street Church Youth Outreach,Community Group,Faith Based Organization,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Direct Prevention, Outreach and Stabilization Services",,,http://www.ascboston.org/,351 Boylston Street,,Boston,MA,02116,Suffolk,(617) 536-7050,,office@ascboston.org,,,LGBTQ youth,,,,Arlington Street Church belongs to the Unitarian Universalist association.  The denomination is organized on the basis of congregational church government.  The local church strongly emphasizes individual freedom of belief and democratic participation in church affairs. ,,,,,,,,,,,,,,,,,,,,,,,
Artists for Humanity,Community Group,Job Development and Placement,,,,,Employment,,,,,Job Development and Placement,,,,,,,Competitive Integrated Employment,,,http://afhboston.org/,100 West 2nd. Street,,South Boston,MA,02127,Suffolk,http://afhboston.org/%20%20(617)%20268-7620,Susan Rodgerson,srodgerson@afhboston.org,,,LGBTQ youth,,,14+,"AFH has four goals, which provide urban teens with: a safe, meaningful place where they are respected for their contributions and develop mentoring relationships; an opportunity to have a voice through exhibitions, commercial services, and public presentations; the respect and responsibility of paid employment that promotes self-esteem and financial accountability.  ",,,,,,,,,,,,,,,,,,,,,,,
BAGELS at Harvard University,Higher Education Organization,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.hcs.harvard.edu/~bagels/,1350 Massachusetts Ave,,Cambridge,MA,02138,Middlesex,,,bagels@hcs.harvard.edu,,,LGBTQ youth,,,college student,"Jointly affiliated with Harvard Hillel and Harvard BGLTSA, BAGELS is Harvard's group for bisexual, gay, lesbian, and transgendered Jews, their friends and supporters.  We sponsor events that foster a queer/Jewish community on campus, and increase awareness about both religion and sexuality.  All are welcome!",,,,,,,,,,,,,,,,,,,,,,,
BAGLY (Boston Area Gay and Lesbian Youth),Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.bagly.org/,14 Beacon St.,Suite 620,Boston,MA,02108,Suffolk,(617) 227-4313,,info@bagly.org,,,LGBTQ youth,,,under 22,"BAGLY: The Boston Alliance of Gay, Lesbian, Bisexual and Transgender Youth, is a youth led, adult supported social support organization, committed to social justice, and creating, sustaining and advocating for programs, policies and services for the LGBTQ youth community. ",4/10/2014: I emailed & got an automatic reply.  I called and left a message; 4/23/2014 Tried to get in touch with Jessica Flaherty. left her a voicemail and emailed her,4/10/2014,4/10/2014,AD,,,,,,,,,,,,,,,,,,,
Berkshire Area Health Education Center: Youth Suicide Prevention Project,Suicide Prevention ,"Education, Training and Employment",,,,,Training and Educational Activities,,,,,Other Training and Education,,,,,,,"Community Prevention, Education and Outreach",,,http://www.berkshireahec.org/page.php?PageID=2067&PageName=Youth+Suicide+Prevention+Project,703 West Housatonic Street,Suite 208,Pittsfield,MA,01201,Berkshire,mailto:bmchugh@berkshireahec.org%20%20413-447-2417,Bear McHugh,bmchugh@berkshireahec.org,,,LGBTQ youth,ally,family,,"The Youth Suicide Prevention Project is funded by the Massachusetts Department of Public Health to help reduce the rate of suicide among young people ages 10 to 24.  The project is designed to support communities disproportionately affected by suicide and nonfatal self-inflicted injury in developing more effective prevention, early intervention and response systems.",,,,,,,,,,,,,,,,,,,,,,,
Berkshire Stonewall Community Coalition,Higher Education Organization,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://berkshirestonewall.org/,,,Pittsfield,MA,01202,Berkshire,413.822.7268,,info@berkshirestonewall.org,,,LGBTQ youth,,,," The Berkshire Stonewall Community Coalition supports the well-being of gay, lesbian, bisexual, and transgendered people of the Berkshires.",,,,,,,,,,,,,,,,,,,,,,,
Bisexual Resource Center,,Awareness and Advocacy,,,,,Awareness,,,,,"Community Outreach, Education, and Engagement",,,,,,,,,,http://www.biresource.net/index.shtml,,,Boston,MA,02117,Suffolk,617 424 9595,,BRC@BIRESOURCE.NET,,,LGBTQ youth,,,,"The Bisexual Resource Center envisions a world where love is celebrated, regardless of sexual orientation or gender expression. Because bisexuals today are still misunderstood, marginalized and discriminated against, the BRC is committed to providing support to the bisexual community and raising public awareness about bisexuality and bisexual people.  The BRC uses bisexual as an umbrella term for people who recognize and honor their potential for sexual and emotional attraction to more than one gender (pansexual, fluid, omnisexual, queer, and all other free-identifiers). We celebrate and affirm the diversity of identity and expression regardless of labels.",,,,,,,,,,,,,,,,,,,,,,,
Boston Area Rape Crisis Center,Health and Mental Health,Domestic and Sexual Violence Services,Hotline Services,"Counseling, Therapy, Psychological and Psychiatric Services",Case Management,,Para-professional support services,Awareness,,,,"Counseling, Therapy and Support",Hotline Services,Case Management,,,,,,,,http://www.barcc.org/join/about,99 Bishop Allen Drive,,Cambridge,MA,02139,,617.492.8306,,,,,,,,,The Boston Area Rape Crisis Center (BARCC) is the only rape crisis center in the Greater Boston area and the oldest and largest center in Massachusetts. Our vision is to end sexual violence through healing and social change.,Hotline: 1.800.841.8371,,,,,,,,,,,,,,,,,,,,,,
Boston Area Rape Crisis Center,Health and Mental Health,Domestic and Sexual Violence Services,Hotline Services,"Counseling, Therapy, Psychological and Psychiatric Services",Case Management,,Para-professional support services,Awareness,,,,"Counseling, Therapy and Support",Hotline Services,Case Management,,,,,,,,http://www.barcc.org/join/about,989 Commonwealth Avenue,,Boston,MA,02215,,617.492.8306,,volunteer [at] barcc.org,,,,,,,The Boston Area Rape Crisis Center (BARCC) is the only rape crisis center in the Greater Boston area and the oldest and largest center in Massachusetts. Our vision is to end sexual violence through healing and social change.,Hotline: 1.800.841.8371,,,,,,,,,,,,,,,,,,,,,,
"Boston Children's Hospital, Gender Management Services",Health and Mental Health,,,,,,Health Care,,,,,Psychiatric Services,Other Health Care Provider Services ,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.childrenshospital.org/clinicalservices/Site2280/mainpageS2280P0.html,300 Longwood Avenue,Fegan 4,Boston,MA,02115,Suffolk,617-355-2420,,,,,LGBTQ youth,transgender youth,,,"Our team of clinicians in the Disorders of Sexual Development (DSD) and Gender Management Service (GeMS) provide some answers to those questions here.  When you meet with our team of experts, they’ll be able to explain your child’s condition and options in more detail.",,,,,,,,,,,,,,,,,,,,,,,
"Boston Children's Hospital, Psychiatry",Health and Mental Health,,,,,,Health Care,,,,,Psychiatric Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.childrenshospital.org/centers-and-services/department-of-psychiatry/overview,300 Longwood Avenue,,Boston,MA,02115,Suffolk,617-355-6680,,,,,LGBTQ youth,,,,"In partnership with others in our community, the Boston Children’s Hospital Department of Psychiatry will provide excellence and leadership in clinical care, education, research and mental health advocacy for children and their families.",,,,,,,,,,,,,,,,,,,,,,,
Boston GLASS,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.jri.org/services/health-hiv-lgbtq-services/health-and-prevention-services/boston-glass,25 West Street,3rd Floor,Boston,MA,02111,Suffolk,(617) 266-3349,Ismael Rivera,mailto:irivera@jri.org,,,LGBTQ youth under 13-25,,,,"Justice Resource Institute (JRI) is dedicated to addressing the most confounding challenges of both the human services and educational systems and the persons and families these systems were created to serve.  Although our range of services is as varied as those we serve, our approach is uniformly characterized by compassionate support, innovation, and community leadership. We work in partnership with individuals, families, communities and government to address their shared challenges in a comprehensive, coordinated, systematic, and effective manner. ",,,,,,,,,,,,,,,,,,,,,,,
Boston Living Center and Victory Programs,Community Group,Housing and Shelter Services,,,,,Basic Support,,,,,Housing Search,,,,,,,"Direct Prevention, Outreach, and Stabilization Services",Clubhouse,,http://www.vpi.org/boston/,29 Stanhope Street,,Boston,MA,02116,Suffolk,617.236.1012,"Larry Kessler, Boston Living Center Director",mailto:lkessler@vpi.org,,,,,,,The Boston Living Center (BLC) is a nonprofit community and resource center whose mission is to foster the wellness of all HIV positive people and respond to the changing needs of the HIV/AIDS community.,,,,,,,,,,,,,,,,,,,,,,,
BRAGLY,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,,LGBTQ youth,,http://www.healthimperatives.org/glys/bragly,942 West Chestnut St.,,Brockton,MA,02301,Plymouth,(800) 530-2770 ext. 229,Missy Sturtevant,msturtevant@healthimperatives.org,Clubhouse,,,,,"[13, 22]","To ensure safe and supportive communities for gay, lesbian, bisexual, transgender and questioning (GLBTQ) youth, adults, and their families.",,,,,,,,,,,,,,,,,,,,,,,
Bridge Over Troubled Waters,Health and Mental Health,Case Management,Housing and Shelter Services,,,,Placement services Services,Health Services,Awareness,,,Emergency placement,Short-term stabilization,Clinical Counseling,Medical Counseling,Substance Abuse Services ,Drop-in Center,,"Child/Adolescent Short-Term Stabilization, Emergency Placement",,,"http://bridgeotw.org/""http://bridgeotw.org/",47 West Street,,Boston,MA,02111,Suffolk,617-423-9575,,mailto:bridge@bridgeotw.org,,,LGBTQ youth,homeless youth,,14-24,"Bridge Over Troubled Waters (Bridge) is Boston's premier organization dedicated to transforming the lives of runaway, homeless, and high-risk youth through safe, supportive, and encouraging relationships and effective and innovative servicesthat guide them toward self-sufficiency.",,,,,,,,,,,,,,,,,,,,,,,
Bridging the Gap,Community Group,Job Development and Placement,,,,,Support Services,Employment,,,,"Para-professional Counseling, Therapy, and Support",Job Development and Placement,,,,,,"Direct Prevention, Outreach and Stabilization Services",,,http://btgboston.wordpress.com/,650 Dudley Street,,Roxbury,MA,02125,Suffolk,6173186917,Jovan Zuniga,mailto:btgboston@gmail.com,,,At risk/Court involved,LGBTQ youth,,12-17,We encourage and welcome all court involved youth [ age 12 - 17 ] who feel they would benefit from our program.,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Anna May Powers Center,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,20 Nichols St,,Everett,MA,02149,Middlesex,617-575-5660 ,,,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",We offer mental health and counseling services for children and adolescents.,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Broadway Health Center,Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",Dental Services,Screening and Testing,Sexual Health ,,Health Care, Behavioral Health Services,Diagnostics,,,Primary Care Services,Psychiatric Services,Dental Services,Other Health Care Provider Services ,Clinical Counseling,Behavioral Counseling,Medical Screening and Testing,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,300 Broadway,,Somerville,MA,02145,Middlesex,617-665-1000,"THESE ALL HAVE THE SAME PHONE NUMBER, WE MAY WANT TO DO THEM SIMULTANEOUSLY",,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Cambridge Family Health,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,237 Hampshire St,,Cambridge,MA,02139,Middlesex,617-665-1000,,,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Cambridge Family Health North,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,2067 Massachusetts Avenue,,Cambridge,MA,02140,Middlesex,617-665-1000,,,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Cambridge Pediatrics,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,1493 Cambridge Street,,Cambridge,MA,02139,Middlesex,617-665-1000,,,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Cambridge Primary Care Center,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,1493 Cambridge Street,,Cambridge,MA,02139,Middlesex,617-665-1000,,,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",,,,,,,,,,,,,,,,,,,,,,,
Cambridge Health Alliance - Cambridge Teen Health Center,Health and Mental Health,Primary Care Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.challiance.org/Main/Home.aspx,459 Broadway,,Cambridge,MA,02138,Middlesex,617-665-1000,,,,,LGBTQ youth,,,,"CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.",,,,,,,,,,,,,,,,,,,,,,,
