Organization	NEW Search Category	NEW Search Category 2	Search Category 1	Search Category 2	Search Category 3	Search Category 4	Search Category 5	Search Category 6	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Service Class 1	Service Class 2	Service Class 3	Website URL	Address	Unit Number	City	State	Zip Code	County	Phone Number	Contact Name 1	Contact Email 1	Contact Name 2	Contact Email 2 (NOT FOR PUBLIC USE)	Target Population 1	Target Population 2	Target Population 3	Min Age	Max Age	Mission Statement	Languages Spoken	Wheelchair Accessible?	Insurance Accepted	Additional Notes
Aleah Nesteby, RN, FNP (baystate)	Physical Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Individual Primary Care Wellness			http://baystatehealth.com/Baystate/Main+Nav/ch.Find+a+Doctor.Print	140 High Street	Baystate High Street Health Center	Springfield	MA	01109	Hampden	(413) 794-2511	Aleah Nesteby							18						
Alison Todd, M.S.W. 	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Health Care	 Behavioral Health Services													151 Main Street	3rd Floor	Northampton	MA	01060	Hampshire	(413) 584-6464					Transgender									
All Saints Episcopal Church Worcester	Faith Based Organization		Faith Based Organization						Para-professional Support Services													www.allsaintsw.org	10 Irving Street		Worcester	MA	01609	Worcester	(508) 752-3766		linda@allsaintsw.org 								As a visible sign of God's presence in the world, All Saints Church is a welcoming, diverse, and urban Christian community, actively proclaiming and living the Gospel.				
Always Our Children	Community & Social Support		Community Group	Faith Based Organization	Counseling, Therapy, Psychological and Psychiatric Services				Para-professional Support Services			Para-professional Counseling, Therapy and Support							Community Prevention, Education, and Outreach				395 Chestnut Street	Sacred Heart Church Diocese of Springfield	Springfield	MA	01104	Hampden	(413) 736-6803, (413) 592-8670	Ann Franczyk	annrun76@aol.com -  EMAIL DOES NOT WORK		swtsomay@aol.com - DOES NOT WORK	Family	LGBTQ								NO WEBSITE SPECIFIC TO THIS ORG
American Civil Liberties Union of Massachusetts	Legal		Legal Services						Other Professional Services			Legal Services							Community Prevention, Education and Outreach			http://www.aclum.org/	211 Congress Street		Boston	MA	02110	Suffolk	(617) 482-3170		info@aclum.org			LGBTQ					The American Civil Liberties Union (ACLU) is a private, voluntary, nonpartisan organization that works daily in courts, legislatures, and communities to defend and preserve our country’s basic civic values--the individual rights and liberties guaranteed to all by the Constitution and Bill of Rights. The ACLU of Massachusetts, with over 20,000 supporters across the Commonwealth, is a state affiliate of the national ACLU. We defend the principles enshrined in the Massachusetts Declaration of Rights as well as the U.S. Constitution.				
American Civil Liberties Union of Massachusetts	Legal		Legal Services						Other Professional Services			Legal Services							Community Prevention, Education and Outreach			http://www.aclum.org/	39 Main Street		Northampton	MA	01060	Hampshire	(413) 586-9115		info@aclum.org			LGBTQ					The American Civil Liberties Union (ACLU) is a private, voluntary, nonpartisan organization that works daily in courts, legislatures, and communities to defend and preserve our country’s basic civic values--the individual rights and liberties guaranteed to all by the Constitution and Bill of Rights. The ACLU of Massachusetts, with over 20,000 supporters across the Commonwealth, is a state affiliate of the national ACLU. We defend the principles enshrined in the Massachusetts Declaration of Rights as well as the U.S. Constitution.				
American Civil Liberties Union of Massachusetts	Legal		Legal Services						Other Professional Services			Legal Services							Community Prevention, Education and Outreach			http://www.aclum.org/	340 Main Street	Room 717	Worcester	MA	01608	Worcester	(508) 444-2258		info@aclum.org	Chris Robarge	mailto:crobarge@aclum.org	LGBTQ					The American Civil Liberties Union (ACLU) is a private, voluntary, nonpartisan organization that works daily in courts, legislatures, and communities to defend and preserve our country’s basic civic values--the individual rights and liberties guaranteed to all by the Constitution and Bill of Rights. The ACLU of Massachusetts, with over 20,000 supporters across the Commonwealth, is a state affiliate of the national ACLU. We defend the principles enshrined in the Massachusetts Declaration of Rights as well as the U.S. Constitution.				
Andrea Razi, LSW	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Health Care	Behavioral Health Services													12 Alfred Street	Suite 200	Woburn	MA	01801	Middlesex	(718) 646-0500					Transgender									
Anne T. Margolis 	Legal		Legal Services						Other Professional Services			Legal Services											8 Trumbull Road 	 Suite #201 	Northampton	MA	 01060 	Hampshire	(413) 586-2472 					Transgender									
Anthony D. Smith, M.S.	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Health Care	 Behavioral Health Services													529 Main Street	Suite 1, Room 15	Indian Orchard	MA	01151	Springfield	(413) 519-2212					Transgender									
Arbour Counseling Services	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Behavioral Health Services			Other Professional Counseling and Therapy	Clinical Counseling									www.arbourhealth.com/organizations/ arbour-counseling-services/ 	38 Pond Street	Suite 101	Franklin	 MA	02038		(508) 528-6037										Arbour Counseling provides individual, couple, family and group counseling for all ages, emergency assessments and responsive assistance, evaluation and treatment for: stress-related issues, depression and anxiety disorders, bipolar and psychotic disorders, aspergers, obsessive compulsive disorders, personality disorders and ADD/ADHD, among others.				From Help Steps Website
Arlington Street Church Youth Outreach	Faith Based Organization		Community Group	Faith Based Organization					Para-professional Support Services			Para-professional Counseling, Therapy and Support							Direct Prevention, Outreach and Stabilization Services			http://www.ascboston.org/	351 Boylston Street		Boston	MA	02116	Suffolk	(617) 536-7050		office@ascboston.org			LGBTQ					Arlington Street Church belongs to the Unitarian Universalist association.  The denomination is organized on the basis of congregational church government.  The local church strongly emphasizes individual freedom of belief and democratic participation in church affairs. 				
BAGLY (Boston Area Gay and Lesbian Youth)	Community & Social Support		Community Group	Drop-in Center					Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse			http://www.bagly.org/	14 Beacon St.	Suite 620	Boston	MA	02108	Suffolk	(617) 227-4313		info@bagly.org	Jessica Flaherty, Program Director (617) 227-4313 x 124	jflaherty@bagly.org	LGBTQ	Transgender	Family		22	BAGLY: The Boston Alliance of Lesbian, Gay, Bisexual and Transgender Youth, is a youth led, adult supported social support organization, committed to social justice, and creating, sustaining and advocating for programs, policies and services for the LGBTQ youth community. 	English	Yes	N/A	
Ballard Vale United Church of Andover 	Faith Based Organization		Faith Based Organization						Para-professional Support Services													www.bvuc.org 	23 Clark Road		Andover	MA	 01810 	Essex	(978) 475-2506										We are a United Methodist and United Church of Christ congregation. If you are moving into the Andover area or searching for a church home, Ballard Vale United Church offers a wonderful network of support through worship, fellowship, service, and study opportunities.				
Barison Law - NOT TRANS COMPETENT	Legal		Legal Services						Other Professional Services			Legal Services										http://www.matthewbarison.com/	101 Arch Street	Suite 1950	Boston	MA	02110	Suffolk	(617) 807-0949		matt@barisonlaw.com								I offer my clients passionate advocacy in courts, administrative proceedings and negotiations. No matter what your case involves, from fender-benders to civil rights violations, I am unequivocally in your corner. Much of my work is concentrated on: personal injury, auto accidents, criminal defense, business disputes, employment discrimination, and more.	English	Yes	N/A	
Berkshire Stonewall Community Coalition	Community & Social Support		Community Group						Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse			http://berkshirestonewall.org/			Pittsfield	MA	01202	Berkshire	(413) 822-7268		info@berkshirestonewall.org			LGBTQ					The Berkshire Stonewall Community Coalition supports the well-being of gay, lesbian, bisexual, and transgendered people of the Berkshires.				
Bernadette Stark  	Legal		Legal Services						Other Professional Services			Legal Services										www.dinsmorestark.com 	Dinsmore Stark, Attorneys At Law, 76 Masonic Street 		Northampton	MA	 01060 	Hampshire	(413) 341-3639 					Transgender									
Beth Tabor Lev, Ph.D.	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Health Care	 Behavioral Health Services													13 Old South Street	#1B	Northampton	MA	01060	Hampshire	(413) 585-5180					Transgender									
Betsy Green, N.P. 	Mental Health		Health and Mental Health						Health Care					Primary Care Services								www.vmgma.com	Northampton Health Center 70 Main Street		Florence 	MA	01062	Hampshire	(413) 586-8400 					Transgender									
Bird Street Community Center	Community & Social Support		Community Group	Education, Training, and Employment	Job Development and Placement				Training and Educational Activities	Formal Education		Other Professional Counseling and Therapy	Job-Targeted Educational and Skills Development Activities 									www.birdstreet.org	500 Columbia Road		Dorchester 	MA	02125	Suffolk	(617) 282-6110									21	The Mission of the Bird Community Center is to provide low income, high-risk youth with all of the critical programs and services that allow inner-city children and youth to rise above poverty, to become the first in their families to graduate from college, to lead the community as a place of peace and prosperity, and to thrive as the adults of tomorrow.				From Help Steps Website
Bisexual Resource Center	Training & Advocacy			Awareness and Advocacy					Awareness			Community Outreach, Education and Engagement										http://www.biresource.net/index.shtml			Boston	MA	02117	Suffolk	(617) 424-9595		BRC@BIRESOURCE.NET	Ellyn Ruthstrom, BRC President	elruthstrom@comcast.net	LGBTQ					The Bisexual Resource Center envisions a world where love is celebrated, regardless of sexual orientation or gender expression. Because bisexuals today are still misunderstood, marginalized and discriminated against, the BRC is committed to providing support to the bisexual community and raising public awareness about bisexuality and bisexual people.  The BRC uses bisexual as an umbrella term for people who recognize and honor their potential for sexual and emotional attraction to more than one gender (pansexual, fluid, omnisexual, queer, and all other free-identifiers). We celebrate and affirm the diversity of identity and expression regardless of labels.	English	Yes (but not all programs offered at main office)	N/A	
Boston Area Rape Crisis Center	Mental Health		Health and Mental Health	Domestic and Sexual Violence Services	Hotline Services	Counseling, Therapy, Psychological and Psychiatric Services	Case Management		Para-professional Support Services	Awareness		Counseling, Therapy and Support	Hotline Services	Case Management								http://www.barcc.org	989 Commonwealth Avenue		Boston	MA	02215	Suffolk	(617) 492-8306		volunteer@barcc.org	Megan Mulcahy (617) 649-1273  	mmulcahy@barcc.org				12		The Boston Area Rape Crisis Center (BARCC) is the only rape crisis center in the Greater Boston area and the oldest and largest center in Massachusetts. Our vision is to end sexual violence through healing and social change.	Spanish, French, Arabic, Mandarin, Portuguese. Translators will be made available for any language. 	Yes	N/A	Hotline: 1 (800) 841-8371
Boston Area Rape Crisis Center	Mental Health		Health and Mental Health	Domestic and Sexual Violence Services	Hotline Services	Counseling, Therapy, Psychological and Psychiatric Services	Case Management		Para-professional Support Services	Awareness		Counseling, Therapy and Support	Hotline Services	Case Management								http://www.barcc.org/join/about	99 Bishop Allen Drive		Cambridge	MA	02139	Middlesex	(617) 492-8306		volunteer@barcc.org	Megan Mulcahy (617) 649-1273  	mmulcahy@barcc.org						The Boston Area Rape Crisis Center (BARCC) is the only rape crisis center in the Greater Boston area and the oldest and largest center in Massachusetts. Our vision is to end sexual violence through healing and social change.	Spanish, French, Arabic, Mandarin, Portuguese. Translators will be made available for any language. 	Yes	N/A	Hotline: 1 (800) 841-8371
Boston Bisexual Women's Network (Bi Women Boston) 	Community & Social Support		Community Group						Para-professional Support Services													www.biwomenboston.org			Jamaica Plain	MA	02130	Suffolk			biwomenboston@gmail.org			LGBTQ									
Boston Children's Hospital, Gender Management Services	Physical Health		Health and Mental Health						Health Care			Psychiatric Services	Other Health Care Provider Services 						Clinical and Medical Counseling, Therapy, and Treatment			http://www.childrenshospital.org/clinicalservices/Site2280/mainpageS2280P0.html	300 Longwood Avenue	Fegan 4	Boston	MA	02115	Suffolk	(617) 355-2420					LGBTQ	Transgender				Our team of clinicians in the Disorders of Sexual Development (DSD) and Gender Management Service (GeMS) provide some answers to those questions here.  When you meet with our team of experts, they’ll be able to explain your child’s condition and options in more detail.				
Boston Children's Hospital, Psychiatry	Mental Health		Health and Mental Health						Health Care			Psychiatric Services							Clinical and Medical Counseling, Therapy, and Treatment			http://www.childrenshospital.org/centers-and-services/department-of-psychiatry/overview	300 Longwood Avenue		Boston	MA	02115	Suffolk	617-355-6680					LGBTQ					In partnership with others in our community, the Boston Children’s Hospital Department of Psychiatry will provide excellence and leadership in clinical care, education, research and mental health advocacy for children and their families.				
Boston GLASS	Community & Social Support		Community Group	Counseling, Therapy, Psychological and Psychiatric Services	Health and Mental Health				Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse			http://www.jri.org/services/health-hiv-lgbtq-services/health-and-prevention-services/boston-glass	25 West Street	3rd Floor	Boston	MA	02111	Suffolk	(617) 266-3349	Ismael Rivera	mailto:irivera@jri.org			LGBTQ	POC		13	25	Justice Resource Institute (JRI) is dedicated to addressing the most confounding challenges of both the human services and educational systems and the persons and families these systems were created to serve.  Although our range of services is as varied as those we serve, our approach is uniformly characterized by compassionate support, innovation, and community leadership. We work in partnership with individuals, families, communities and government to address their shared challenges in a comprehensive, coordinated, systematic, and effective manner. 				
Boston Health Care for the Homeless	Physical Health		Health and Mental Health	Primary Care Services	Counseling, Therapy, Psychological and Psychiatric Services				Health Care	Behavioral Health Services												http://bhchp.org/index.htm	780 Albany Street		Boston	MA	02118	Suffolk	(857) 654-1000		 info@bhchp.org								For 29 years, our mission has remained the same: to provide or assure access to the highest quality health care for all homeless men, women and children in the greater Boston area. We believe it has been and continues to be medicine that matters. 				
Boston Living Center and Victory Programs	Employment & Housing		Drop-in Center	HIV and AIDS Services	Community Group				Basic Support			Housing Search							Direct Prevention, Outreach, and Stabilization Services	Clubhouse		http://www.vpi.org/boston/	29 Stanhope Street		Boston	MA	02116	Suffolk	(617) 236-1012	Morrigan Phillips	mphillips@vpi.org			LGBTQ	Transgender	Family			The Boston Living Center (BLC) is a nonprofit community and resource center whose mission is to foster the wellness of all HIV positive people and respond to the changing needs of the HIV/AIDS community.	English, Spanish	Yes	N/A	All services are free and open to anyone living with HIV/AIDS. Intakes are on Thursday's at 10:30am. All one needs is: a picture ID (does not have to be government issued), a document confirming HIV diagnoses and a statement of income (even if its zero. A case manager or other provider can write a letter confirming no income.) 
Boston Medical Center Project TRUST	Physical Health		Sexual Health Services	Screening and Testing					Health Care													http://www.bostonprojecttrust.com/	721 Masscahusetts Avenue		Boston	MA	02118	Suffolk			confidentialPT@bmc.org								Project TRUST was established in 1987 and is one of Boston's oldest drop-in centers. Project TRUST is part of Boston Medical Center's public health initatives. Project TRUST provides HIV/HCV/STI testing services as well as conducts prevention projects and linkage to medical care and services.	English, Spanish, Portuguese, French, French-Creole, ASL (only by booking an interpreter)	Yes	Masshealth, Medicaid, Medicare, Private Health Insurance, clients can be tested at no charge	
Boston Medical Center Safety Counts	Physical Health		Health and Mental Health	Sexual Health Services	HIV and AIDS Services				Health Care													http://www.bmc.org/infectious-diseases/services/prevention-programs.htm	721 Massachusetts Avenue		Boston	MA	02118	Suffolk			confidentialsafetycounts@bmc.org - EMAIL DOES NOT WORK												
BRAGLY	Community & Social Support		Community Group						Para-professional Support Services			Para-professional Counseling, Therapy and Support								LGBTQ youth		http://www.healthimperatives.org/glys/bragly	942 West Chestnut Street		Brockton	MA	02301	Plymouth	(800) 530-2770 ext. 229	Missy Sturtevant	msturtevant@healthimperatives.org			LGBTQ			13	22	To ensure safe and supportive communities for gay, lesbian, bisexual, transgender and questioning (GLBTQ) youth, adults, and their families.				
Bridge Over Troubled Waters	Employment & Housing Services		Health and Mental Health	Case Management	Housing and Shelter Services				Placement Services	Health Care	Awareness	Emergency Placement	Short-term Stabilization	Clinical Counseling	Medical Counseling	Substance Abuse Services 	Drop-in Center		Child/Adolescent Short-term Stabilization, Emergency Placement			http://bridgeotw.org/"http://bridgeotw.org/	47 West Street		Boston	MA	02111	Suffolk	(617) 423-9575		mailto:bridge@bridgeotw.org			LGBTQ			14	24	Bridge Over Troubled Waters (Bridge) is Boston's premier organization dedicated to transforming the lives of runaway, homeless, and high-risk youth through safe, supportive, and encouraging relationships and effective and innovative services that guide them toward self-sufficiency.				
Bridging the Gap	Employment & Housing Services		Education, Training, and Employment	Job Development and Placement					Support Services	Employment		Para-professional Counseling, Therapy and Support	Job Development and Placement						Direct Prevention, Outreach and Stabilization Services			http://btgboston.wordpress.com/	650 Dudley Street		Roxbury	MA	02125	Suffolk	(617) 318-6917	Jovan Zuniga	mailto:btgboston@gmail.com			LGBTQ			12	17	Dedicated to empowering the youth of Boston.				
Cambridge GLBT Commission	Training & Advocacy		Government Entity	Awareness and Advocacy					Awareness			Community Outreach, Education and Engagement							Capacity Building			http://www.cambridgema.gov/glbt.aspx	795 Massachusetts Avenue		Cambridge	MA	02139	Middlesex	(617) 349-3355		glbtcommission@cambridgema.gov	Aren Stone (617)876-2897 	arenstone@comcast.net	LGBTQ	Transgender	Allies			The mission of the Cambridge GLBT Commission is to advocate for a culture of respect and to monitor progress toward equality of all persons with regard to sexual orientation and gender identity. We are committed to promoting and monitoring policies and practices that have a positive effect on the health, welfare, and safety of all persons who live, visit, or work in the City of Cambridge with regard to sexual orientation and gender identity.	English, Spanish	Yes	N/A	Families, College students, Seniors
Cambridge Health Alliance - Anna May Powers Center	Physical Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Clinical and Medical Counseling, Therapy, and Treatment			http://www.challiance.org/Main/Home.aspx	20 Nichols Street		Everett	MA	02149	Middlesex	(617) 575-5660 					LGBTQ					CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.				We offer mental health and counseling services for children and adolescents.
